# curie_map:
#   cso: http://taxonomy-refiner.io/ontologies/cso#
#   lkif-norm: http://www.estrellaproject.org/lkif-core/norm.owl#
#   lkif-time: http://www.estrellaproject.org/lkif-core/time-modification.owl#
#   fibo-gov: https://spec.edmcouncil.org/fibo/ontology/BE/GovernmentEntities/GovernmentEntities/
#   fibo-legal: https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/LegalPersons/
#   fibo-credit: https://spec.edmcouncil.org/fibo/ontology/FBC/DebtAndEquities/CreditRatings/
#   fibo-people: https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/
#   fibo-products: https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/
#   fibo-instruments: https://spec.edmcouncil.org/fibo/ontology/FBC/FinancialInstruments/FinancialInstruments/
#   fibo-cards: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CardAccounts/
#   fibo-debt: https://spec.edmcouncil.org/fibo/ontology/FBC/DebtAndEquities/Debt/
#   fibo-obj: https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/LegalPersons/
#   fibo-deriv: https://spec.edmcouncil.org/fibo/ontology/DER/DerivativesContracts/StructuredInstruments/
#   fibo-reg: https://spec.edmcouncil.org/fibo/ontology/BP/Process/FinancialContextAndProcess/
#   fibo-banking: https://spec.edmcouncil.org/fibo/ontology/FBC/FunctionalEntities/FinancialServicesEntities/
#   commons-org: https://www.omg.org/spec/Commons/Organizations/
#   obo: http://purl.obolibrary.org/obo/
#   bfo: http://purl.obolibrary.org/obo/BFO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: ontology-to-bfo
# mapping_set_description: Maps domain ontology classes to BFO categories for slot label resolution in adversarial frames
# license: https://www.apache.org/licenses/LICENSE-2.0.html
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
http://taxonomy-refiner.io/ontologies/cso#DirectIdentifierExposure	Direct Identifier Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#HealthDataExposure	Health Data Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#FinancialDataExposure	Financial Data Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#MedicalRecordExposure	Medical Record Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#EmploymentDataExposure	Employment Data Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#BiometricDataExposure	Biometric Data Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#DigitalFootprintExposure	Digital Footprint Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#LocationDataExposure	Location Data Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#TradeSecretDisclosure	Trade Secret Disclosure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#PrivacyViolation	Privacy Violation	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#PornographicContentDescription	Pornographic Content Description	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.80
http://taxonomy-refiner.io/ontologies/cso#DiagnosisExposure	Diagnosis Exposure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#ProcessDisclosure	Process Disclosure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#CustomerListDisclosure	Customer List Disclosure	skos:broadMatch	InformationContentEntity	Information Content Entity	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#FinancialFraud	Financial Fraud	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#SocialEngineeringFraud	Social Engineering Fraud	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#Manipulation	Manipulation	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#Impersonation	Impersonation	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#Disinformation	Disinformation	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#UnauthorizedSurveillance	Unauthorized Surveillance	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#FraudAndDeception	Fraud and Deception	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.90
http://taxonomy-refiner.io/ontologies/cso#Counterfeiting	Counterfeiting	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#Harassment	Harassment	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#TargetedHarassment	Targeted Harassment	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#Cyberterrorism	Cyberterrorism	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#IllicitDrugManufacturing	Illicit Drug Manufacturing	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#DeepfakeDisinformation	Deepfake Disinformation	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#Misinformation	Misinformation	skos:broadMatch	Act	Act	semapv:ManualMappingCuration	0.85
http://taxonomy-refiner.io/ontologies/cso#DangerousInformation	Dangerous Information	skos:broadMatch	Disposition	Disposition	semapv:ManualMappingCuration	0.85
