# curie_map:
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   airo: https://delaramglp.github.io/airo#
#   eu-aiact: https://w3id.org/dpv/legal/eu/aiact#
#   pd: https://w3id.org/dpv/pd#
#   risk: https://w3id.org/dpv/risk#
#   eu-rights: https://w3id.org/dpv/legal/eu/rights#
#   justifications: https://w3id.org/dpv/justifications#
#   sector-finance: https://w3id.org/dpv/sector/finance#
#   sector-health: https://w3id.org/dpv/sector/health#
#   sector-law: https://w3id.org/dpv/sector/law#
#   tech: https://w3id.org/dpv/tech#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# mapping_set_id: risk-to-vocabulary
# mapping_set_description: Maps AI risk concepts to AIRO/DPV vocabulary for structured LLM context. LLM-generated, needs curation.
# license: https://www.apache.org/licenses/LICENSE-2.0.html
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
#
# ============================================================
# IBM Risk Atlas (16 groups)
# ============================================================
#
# --- ibm-risk-atlas-fairness ---
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	eu-aiact:AISubject	AI Subject	semapv:LLMBasedMatching	0.95
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	eu-aiact:AIDeployer	AI Deployer	semapv:LLMBasedMatching	0.85
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	pd:EthnicOrigin	Ethnic Origin	semapv:LLMBasedMatching	0.95
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	pd:Gender	Gender	semapv:LLMBasedMatching	0.95
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	pd:CreditScore	Credit Score	semapv:LLMBasedMatching	0.80
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	eu-rights:T3-Equality	Equality	semapv:LLMBasedMatching	0.90
ibm-risk-atlas-fairness	Fairness	skos:relatedMatch	sector-finance:CreditChecking	Credit Checking	semapv:LLMBasedMatching	0.75
# --- ibm-risk-atlas-privacy ---
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	eu-aiact:AISubject	AI Subject	semapv:LLMBasedMatching	0.95
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	eu-aiact:AIDeployer	AI Deployer	semapv:LLMBasedMatching	0.85
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	pd:Biometric	Biometric	semapv:LLMBasedMatching	0.90
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	pd:MedicalHealth	Medical Health	semapv:LLMBasedMatching	0.85
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	pd:Financial	Financial	semapv:LLMBasedMatching	0.80
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	justifications:LegitimateInterestOverride	Legitimate Interest Override	semapv:LLMBasedMatching	0.70
ibm-risk-atlas-privacy	Privacy	skos:relatedMatch	eu-rights:T2-DataProtection	Data Protection	semapv:LLMBasedMatching	0.90
# --- ibm-risk-atlas-misuse ---
ibm-risk-atlas-misuse	Misuse	skos:relatedMatch	eu-aiact:AIUser	AI User	semapv:LLMBasedMatching	0.90
